EIN,Organization,Mission,Receipts,URL,Guidestar
91-1663695,Bill & Melinda Gates Foundation Trust,"The foundation conducts all operations and grantmaking work and is the entity from which all grants are made. Bill, Melinda, and Warren are the trustees for the foundation. Warren has no involvement in the investment of the endowment through the Foundation Trust, including decisions that might be made regarding Berkshire Hathaway Inc. stock.     Because Bill, Melinda, and Warren believe the right approach is to focus the foundation’s work in the 21st century, we will spend all of our resources within 20 years after Bill's and Melinda's deaths. In addition, Warren has stipulated that the proceeds from the Berkshire Hathaway shares he still owns upon his death are to be used for philanthropic purposes within 10 years after his estate has been settled.     The decision to use all of the foundation’s resources in this century underscores our optimism for progress and determination to do as much as possible, as soon as possible, to address the comparatively narrow set of issues we’ve chosen to focus on.",65351324539,http://www.gatesfoundation.org/Who-We-Are/General-Information/Financials/Foundation-Trust,https://www.guidestar.org/profile/91-1663695
56-2618866,BILL & MELINDA GATES FOUNDATION,"Guided by the belief that every life has equal value, the Bill & Melinda Gates Foundation works to help all people lead healthy, productive lives. In developing countries, it focuses on improving people's health and giving them the chance to lift themselves out of hunger and extreme poverty. In the United States, it seeks to ensure that all people—especially those with the fewest resources—have access to the opportunities they need to succeed in school and life. Based in Seattle, Washington, the foundation is led by CEO Dr. Susan Desmond-Hellmann and Co-chair William H. Gates Sr., under the direction of Bill and Melinda Gates and Warren Buffett.",5314504955,http://www.gatesfoundation.org/,https://www.guidestar.org/profile/56-2618866
23-7093598,John D. and Catherine T. MacArthur Foundation,"The John D. and Catherine T. MacArthur Foundation supports creative people and effective institutions committed to building a more just, verdant, and peaceful world.",2120009347,www.macfound.org,https://www.guidestar.org/profile/23-7093598
91-0793881,Casey Family Programs,"Casey Family Programs is the nation's largest operating foundation focused on safely reducing the need for foster care and building Communities of Hope for children and families across America.  Founded in 1966, we work in all 50 states, the District of Columbia and two territories and with more than a dozen tribal nations to influence long-lasting improvements to the safety and success of children, families and the communities where they live.",1522909925,www.casey.org,https://www.guidestar.org/profile/91-0793881
65-0464177,"John S. and James L. Knight Foundation, Inc.","Knight Foundation is a national foundation with strong local roots. We invest in journalism, in the arts, and in the success of cities where brothers John S. and James L. Knight once published newspapers. Our goal is to foster informed and engaged communities, which we believe are essential for a healthy democracy.",1421523951,http://www.knightfoundation.org,https://www.guidestar.org/profile/65-0464177
13-1628151,Carnegie Corporation of New York,"Carnegie Corporation of New York was created by Andrew Carnegie in 1911 to promote ""the advancement and diffusion of knowledge and understanding.""  For over 95 years the Corporation has carried out Carnegie's vision of philanthropy by building on his tow major concerns:  international peace and advancing education and knowledge.",1163012280,http://www.carnegie.org/,https://www.guidestar.org/profile/13-1628151
90-0747216,The Jpb Foundation,"To enhance the quality of life in the United States through transformational initiatives that promote the health of our communities by creating opportunities for those living in poverty, enabling pioneering medical research, and enriching and sustaining our environment.",1092968332,http://jpbfoundation.org/,https://www.guidestar.org/profile/90-0747216
23-7047034,THE EDNA MCCONNELL CLARK FOUNDATION,The Edna McConnell Clark Foundation champions economically disadvantaged youth. We partner with other investors to expand programs with compelling evidence in order to help more vulnerable young people become successful adults.,1075500287,www.emcf.org,https://www.guidestar.org/profile/23-7047034
95-1790021,J Paul Getty Trust,"The J. Paul Getty Trust is an international cultural and philanthropic organization serving both general audiences and specialized professionals. Educational in purpose and character, the Getty focuses on the visual arts in all of their dimensions and their capacity to strengthen and inspire aesthetic and humanistic values. The Getty makes a difference by weaving together the presentation, enjoyment, study, and conservation of the visual arts in order to increase the public's knowledge an sensitivity, expand its awareness and creativity, sharpen its understanding and caring -- all with the conviction that cultural enlightenment and community involvement in the arts can help lead to a more civil society.",943547163,www.getty.edu,https://www.guidestar.org/profile/95-1790021
13-7043679,Doris Duke Charitable Foundation,"The mission of the Doris Duke Charitable Foundation is to improve the quality of people's lives through grants supporting the performing arts, environmental conservation, medical research and child well-being, and through preservation of the cultural and environmental legacy of Doris Duke's properties.",745072829,http://www.ddcf.org,https://www.guidestar.org/profile/13-7043679
95-4523232,California Endowment,"The California Endowment, a private, statewide health foundation, was established in 1996 to expand access to affordable, quality health care for underserved individuals and communities, and to promote fundamental improvements in the health status of all Californians. Headquartered in downtown Los Angeles, The Endowment has regional offices in Sacramento, Oakland, Fresno and San Diego, with program staff working throughout the state. The Endowment challenges the conventional wisdom that medical settings and individual choices are solely responsible for people's health. The Endowment believes that health happens in neighborhoods, schools, and with prevention.",596345874,www.calendow.org,https://www.guidestar.org/profile/95-4523232
38-1359264,W.K. Kellogg Foundation,"The W.K. Kellogg Foundation supports children, families and communities as they strengthen and create conditions that propel vulnerable children to achieve success as individuals and as contributors to the larger community and society.",585316544,http://www.wkkf.org/,https://www.guidestar.org/profile/38-1359264
94-3397785,GORDON E AND BETTY I MOORE FOUNDATION,"We foster path-breaking scientific discovery, environmental conservation, patient care improvements, and preservation of the special character of the Bay Area.",554138645,https://www.moore.org/,https://www.guidestar.org/profile/94-3397785
13-1635260,The Commonwealth Fund,"The Commonwealth Fund is a private foundation that aims to promote a high performing health care system that achieves better access, improved quality, and greater efficiency, particularly for society's most vulnerable.",528829688,http://www.commonwealthfund.org/,https://www.guidestar.org/profile/13-1635260
74-6013920,Houston Endowment Inc,Houston Endowment enriches the Greater Houston area by supporting a broad spectrum of charitable organizations.,491839715,http://www.houstonendowment.org,https://www.guidestar.org/profile/74-6013920
13-1760106,"Rockefeller Brothers Fund, Inc.","The Rockefeller Brothers Fund advances social change that contributes to a more just, sustainable, and peaceful world.",485963029,www.rbf.org,https://www.guidestar.org/profile/13-1760106
51-6017929,"F.M. Kirby Foundation, Inc.","The F. M. Kirby Foundation aims effectively to manage and utilize that which has been entrusted to it over multiple generations of the Kirby family. It strives to make thoughtful and prudent philanthropic commitments to highly selective grantee partners. The goal is to invest in opportunities that foster self-reliance or otherwise create strong, healthy communities.  The Board of Directors recognizes that achieving its philanthropic aspirations takes time, effort and perseverance that often result in sustained funding relationships.",463219509,www.fmkirbyfoundation.org,https://www.guidestar.org/profile/51-6017929
74-6036466,BROWN FOUNDATION INC,Philanthropy,432052848,NA,https://www.guidestar.org/profile/74-6036466
